# People — transcribed from the cleaned workbook's People sheet, in its own row order
# (that sheet is sorted by ROLE, which is what pins the PDF's column-blocks together).
# id|name|domain|gender|birth|death|datesOrig|dateQc|role|category|relationships|spouse|decades|areas|note|link
# dateQc: P parsed from source · U unknown · A approximate · V various/group record · E death year expanded
# domain is assigned here, not in the workbook — see build.py.
VM-ADD-009|Kate Isitt|press|F||||Unknown||Journalist for Guardian, originally from New Zealand|||1910s-1940s|||https://thedinnerpuzzle.com/portfolio/miss-isitt/
VM-ADD-010|Thomas Fairbairn|arts|M|1823|1891|1823–91|Death year expanded from abbreviated source|||Husband of Allison Callaway||||local industrialist, art collector and patron, who had experience as a commissioner at the Great Exhibition 1851, headed the Executive Committee of the Art Treasures Exhibition 1857|https://oro.open.ac.uk/65922/7/317573_Redacted2.pdf
VM-ADD-011|Leo H. Grindon|nat|M|1818|1904|1818–1904|Parsed from source||Amateur Naturalist, adult education. Founded the Manchester Field-Naturalists' Society|Husband of Rosa Leo Grindon||1850s-1890s|Lived Chorlton-on-Medlock. Wrote excursions for whole GM|Author of "Manchester Flora" (William White, 1859) and "Country Rambles and Manchester Walks and Wildflowers" (William White, 1882). His collection now in the Manchester Harborium/ Manchester Museum.|https://en.wikipedia.org/wiki/Leopold_Hartley_Grindon
VM-ADD-012|William and Joseph Beardsley Cornbrook|nat|M||||Unknown||Opened Strawberry Gardens (later Pomona Gardens) 1845||||||https://mousehouselife.wordpress.com/2023/10/25/escape-to-pomona-island/
NH-001|Richard Buxton|nat|M|1786|1865|1786–1865|Parsed from source|Botanist & shoemaker|Working-class natural history|John Horsefield; John Nowell; artisan botanical societies||1820s–1860s|Manchester; Kersal Moor|Self-taught Manchester botanist and author of an 1849 guide to plants found within sixteen miles of Manchester.|https://journals.sagepub.com/doi/10.1177/007327539403200302
NH-002|John Horsefield|nat|M|1792|1854|1792–1854|Parsed from source|Botanist & handloom weaver|Artisan botany; mutual education|Richard Buxton; Prestwich Botanical Society; regional societies||1800s–1850s|Besses o' th' Barn; Prestwich; Kersal Moor|Founded the Prestwich Botanical Society in 1820; led local and regional botanical networks.|https://historicengland.org.uk/listing/the-list/list-entry/1406283
NH-003|Edward Hobson|nat|M|1782|1830|1782–1830|Parsed from source|Bryologist & artisan naturalist|Artisan botany|John Horsefield; Manchester artisan botanists||1810s–1820s|Manchester|Early Manchester specialist in mosses and liverworts.|https://herbologymanchester.wordpress.com/wp-content/uploads/2017/10/herb_manch-contents-guide.pdf
NH-004|Joseph Sidebotham|nat|M|1824|1885|1824–1885|Parsed from source|Cotton industrialist, naturalist & photographer|Industry; science; collecting|Leo H. Grindon; Manchester Field-Naturalists' Society||1840s–1880s|Hyde; Manchester|Cotton industrialist with botanical, entomological, microscopical and photographic interests; collections entered Manchester Museum.|https://www.euppublishing.com/doi/10.3366/anh.2015.0305
NH-005|John Leigh Philips|nat|M|1761|1814|1761–1814|Parsed from source|Textile manufacturer & collector|Industry; collecting; museum formation|Manchester Society for the Promotion of Natural History||1780s–1810s|Longsight; Manchester|His natural-history collection became foundational to Manchester's museum institutions.|https://archiveshub.jisc.ac.uk/data/gb133-mma
NH-006|Robert Cribb|nat|M|||Unknown|Unknown|Textile worker & amateur lepidopterist|Working-class entomology; disputed credit|R. Wood; John Curtis||1820s|Kersal Moor; Salford|Credited with finding the Manchester moth in 1829; its naming became a dispute over attribution and scientific credit.|https://www.museum.manchester.ac.uk/collections/entomology
NH-007|R. Wood|nat|M|||Unknown|Unknown|Insect collector|Entomology; disputed attribution|Robert Cribb; John Curtis||1820s–1830s|Manchester|Collector after whom the Manchester moth was named; relationship to Cribb requires careful sourcing.|https://www.museum.manchester.ac.uk/collections/entomology
NH-008|Benjamin Carrington|nat|M|1827|1893|1827–1893|Parsed from source|Physician & botanist|Professional science; medicine|Manchester herbarium network; William Henry Pearson||1850s–1890s|Manchester|Specialist in bryophytes, cryptogams, fungi and lichens.|https://archiveshub.jisc.ac.uk/data/gb2875-bal
NH-009|Charles Bailey|nat|M|1838|1924|1838–1924|Parsed from source|Botanist & collector|Museum collections|Manchester Museum herbarium network||1860s–1910s|Manchester|Built one of the three major personal herbaria incorporated into Manchester Museum.|https://herbologymanchester.wordpress.com/wp-content/uploads/2017/10/herb_manch-contents-guide.pdf
NH-010|Cosmo Melvill|nat|M|1845|1929|1845–1929|Parsed from source|Naturalist & collector|Museum collections|Manchester Museum herbarium network||1860s–1900s|Manchester|His herbarium became one of Manchester Museum's three major personal botanical collections.|https://herbologymanchester.wordpress.com/wp-content/uploads/2017/10/herb_manch-contents-guide.pdf
NH-011|Samuel Gibson|nat|M|||Unknown|Unknown|Artisan botanist & collector|Artisan botany|Lancashire artisan botanists||1830s–1840s|Lancashire; Manchester network|Collector of ferns, algae and other cryptogams represented in Manchester's herbarium.|https://herbologymanchester.wordpress.com/wp-content/uploads/2017/10/herb_manch-contents-guide.pdf
NH-012|John Nowell|nat|M|||Unknown|Unknown|Bryologist|Artisan botany|Richard Buxton||1840s–1860s|Lancashire; Manchester network|Collaborated with Buxton on a fasciculus of British mosses.|https://herbologymanchester.wordpress.com/wp-content/uploads/2017/10/herb_manch-contents-guide.pdf
NH-013|George Crozier|nat|M|||Unknown|Unknown|Artisan naturalist|Artisan botany|Manchester artisan naturalists||Early 19th century|Shudehill; Manchester|Remembered by Grindon as practising natural history alongside manual work.|https://www.gutenberg.org/cache/epub/47578/pg47578-images.html
NH-014|John Crowther|nat|M|1768||1768–Unknown|Unknown|Artisan botanist|Artisan botany|Early Lancashire botanical societies||1770s–1840s|Eccles and regional network|An early participant in rotating Lancashire botanical meetings; described by Grindon as a 'Banksian'.|https://www.gutenberg.org/cache/epub/47578/pg47578-images.html
NH-015|Thomas Henry Sidebotham|nat|M|||Unknown|Unknown|Naturalist|Family scientific network|Joseph Sidebotham; Sidebotham family network||19th century|Greater Manchester|Potential member of the wider Sidebotham scientific network.|https://www.euppublishing.com/doi/10.3366/anh.2015.0305
NH-016|John Crowe|nat|M|||Unknown|Unknown|Botanist|Artisan botany|Regional botanical gatherings||19th century|Manchester|Named by Grindon among Manchester botanists attending regional gatherings.|https://www.gutenberg.org/cache/epub/47578/pg47578-images.html
NH-017|John Warburton|nat|M|||Unknown|Unknown|Botanist|Artisan botany|Regional botanical gatherings||19th century|Manchester|Named by Grindon among Manchester botanists attending regional gatherings.|https://www.gutenberg.org/cache/epub/47578/pg47578-images.html
NH-018|George Hulme|nat|M|||Unknown|Unknown|Botanist|Artisan botany|Regional botanical gatherings||19th century|Prestwich|Named by Grindon among local botanists attending regional gatherings.|https://www.gutenberg.org/cache/epub/47578/pg47578-images.html
NH-019|Edwin Clough|nat|M|||Unknown|Unknown|Botanist|Artisan botany|Regional botanical gatherings||19th century|Ashton-under-Lyne|Named by Grindon among local botanists attending regional gatherings.|https://www.gutenberg.org/cache/epub/47578/pg47578-images.html
NH-020|Henry Newton|nat|M|||Unknown|Unknown|Botanist|Artisan botany|Regional botanical gatherings||19th century|Ashton-under-Lyne|Named by Grindon among local botanists attending regional gatherings.|https://www.gutenberg.org/cache/epub/47578/pg47578-images.html
NH-021|Tom Bleackley|nat|M|||Unknown|Unknown|Botanist|Artisan botany|Regional botanical gatherings||19th century|Whitefield|Named by Grindon among local botanists attending regional gatherings.|https://www.gutenberg.org/cache/epub/47578/pg47578-images.html
NH-022|John Shaw|nat|M|||Unknown|Unknown|Botanist|Artisan botany|Regional botanical gatherings||19th century|Eccles|Named by Grindon among local botanists attending regional gatherings.|https://www.gutenberg.org/cache/epub/47578/pg47578-images.html
NH-023|John Darbyshire|nat|M|||Unknown|Unknown|Botanist|Artisan botany|Regional botanical gatherings||19th century|Newton|Named by Grindon among local botanists attending regional gatherings.|https://www.gutenberg.org/cache/epub/47578/pg47578-images.html
NH-024|William Bentley|nat|M|||Unknown|Unknown|Botanist|Artisan botany|Regional botanical gatherings||19th century|Royton|Named by Grindon among local botanists attending regional gatherings.|https://www.gutenberg.org/cache/epub/47578/pg47578-images.html
NH-025|James Devonport|nat|M|||Unknown|Unknown|Botanist|Artisan botany|Regional botanical gatherings||19th century|Droylsden|Named by Grindon among local botanists attending regional gatherings.|https://www.gutenberg.org/cache/epub/47578/pg47578-images.html
NH-026|John Turner|nat|M|||Unknown|Unknown|Botanist|Artisan botany|Regional botanical gatherings||19th century|Middleton|Named by Grindon among local botanists attending regional gatherings.|https://www.gutenberg.org/cache/epub/47578/pg47578-images.html
NH-027|Mrs Hopkins|nat|F|||Unknown|Unknown|Plant collector|Overlooked collector|Manchester herbarium collection||1879–1881|Unknown|A named but incompletely identified collector represented by herbarium sheets.|https://herbologymanchester.wordpress.com/wp-content/uploads/2017/10/herb_manch-contents-guide.pdf
NH-028|Mrs P. Jaffrey|nat|F|||Unknown|Unknown|Fern collector|Overlooked collector; colonial collection network|Manchester herbarium collection||1882|Darjeeling; Manchester collection destination|Collector associated with Darjeeling fern specimens now documented in Manchester's herbarium guide.|https://herbologymanchester.wordpress.com/wp-content/uploads/2017/10/herb_manch-contents-guide.pdf
VM-ADD-013|William Crawford Williamson|nat|Unknown||||Unknown|||first curator of Peter St museum? 1835 & Prof Natural History at Owen's College|||||https://en.wikipedia.org/wiki/William_Crawford_Williamson
